"x_","y_","t_","id"
694339.236409146,-2929478.80915867,2016-08-11 13:28:00,"ID2"
686131.252133481,-2922451.13691133,2016-08-11 14:28:00,"ID2"
687041.867216624,-2921811.50942911,2016-08-11 15:28:00,"ID2"
687040.516170134,-2921806.41996069,2016-08-12 04:48:00,"ID2"
687090.596468121,-2922325.47389142,2016-08-12 05:48:00,"ID2"
687433.211823115,-2922408.74588587,2016-08-12 06:48:00,"ID2"
689808.263810227,-2922901.55575363,2016-08-12 07:48:00,"ID2"
689805.429579521,-2922891.71246185,2016-08-12 08:48:00,"ID2"
689846.624260501,-2922931.42264567,2016-08-12 09:48:00,"ID2"
689839.448826535,-2922933.58145448,2016-08-12 10:48:00,"ID2"
689841.083124535,-2922935.11170404,2016-08-12 11:48:00,"ID2"
689841.500289247,-2922932.49764623,2016-08-12 12:48:00,"ID2"
689850.716252898,-2922933.06890973,2016-08-12 13:48:00,"ID2"
690047.509102772,-2922937.66498002,2016-08-12 14:48:00,"ID2"
689845.606338462,-2922929.24034899,2016-08-13 04:56:00,"ID2"
689843.807787484,-2922937.37153824,2016-08-13 05:56:00,"ID2"
689790.276913705,-2922886.505961,2016-08-13 06:56:00,"ID2"
689928.598434537,-2922917.49168443,2016-08-13 07:56:00,"ID2"
689393.926722301,-2947243.26881421,2016-08-13 08:56:00,"ID2"
684180.414866547,-2984676.08098853,2016-08-13 09:56:00,"ID2"
688419.911589868,-3009550.89554202,2016-08-13 10:56:00,"ID2"
705974.761046937,-3032713.57550784,2016-08-13 11:56:00,"ID2"
703824.332335443,-3076654.98007396,2016-08-13 12:56:00,"ID2"
703713.189600734,-3076510.97316905,2016-08-13 13:56:00,"ID2"
703715.747076588,-3076511.42966029,2016-08-13 14:56:00,"ID2"
703710.989111982,-3076563.41071624,2016-08-14 04:30:00,"ID2"
703714.270926165,-3076491.2199833,2016-08-14 05:29:00,"ID2"
703696.45104796,-3076357.31934241,2016-08-14 06:29:00,"ID2"
703703.827655547,-3076562.31214688,2016-08-14 07:57:00,"ID2"
703714.078578367,-3076556.95407076,2016-08-14 08:28:00,"ID2"
